_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Education,"Agriculture, Food and Rural Affairs",Owen Sound,Georgian College - Marine Emergency Duties Training and Research Centre,Complete,May-17,Construction of Marine Emergency Duties Training and Research Centre at Owen Sound campus of Georgian College ,"Will include firefighting confidence centre, simulated lifeboat/freefall training facilities, classrooms and offices",Grey,Southwest,1450 8th St E,N4K 5R4,,3920518,,Yes,Yes,Yes,,44.568239,-80.918644
2,Education,"Agriculture, Food and Rural Affairs",Sarnia,Lambton College - Centre for Health Education & Sustainable Care,Complete,Dec-19,Replacing outdated facility,New centre to feature multi-functional health laboratories and interactive learning studios,Lambton,Southwest,1457 London Rd,N7S 6K4,,20000000,,Yes,Yes,Yes,,42.98,-82.35
3,Education,Colleges and Universities,Barrie,"Georgian College - Advanced Technology, Innovation and Research Centre",Complete,Oct-18,Modernizing facilities,"Adding 60,000 sq. ft. to support engineering labs, multi-use technology classrooms, research commercialization and maker spaces",Simcoe,Central,1 Georgian Dr,L4M 3X9,,27700000,,Yes,Yes,Yes,,44.412167,-79.668206
4,Education,Colleges and Universities,Belleville,Loyalist College Health and Wellness Centre Renovation,Complete,Apr-18,Renovation of existing space for new Health and Wellness Centre and renovations to 3rd floor main campus.,"Upgrades to the building shell and systems will improve the learning environment, increase accessibility, and meet sustainability/energy efficiency goals.  Installation of simulation equipment will strengthen learning partnerships with local health care agencies.",Hastings,East,376 Wallbridge-Loyalist,K8N 5B9,,3200000,,Yes,Yes,Yes,,44.177,-77.389367
5,Education,Colleges and Universities,Greater Sudbury,Laurentian University - Campus Modernization,Complete,Apr-18,Renovating and expanding campus,"Adding 47,000 sq.ft. of space for research, innovation and commercialization activity, updating heating systems to reduce electricity consumption",Sudbury,Northeast,935 Ramsey Lake Rd,P3E 2C6,,60700000,,Yes,Yes,Yes,,46.466651,-80.974417
6,Education,Colleges and Universities,Greater Sudbury,Laurentian University - New McEwen School of Architecture,Complete,Sep-16,Construction of new building and renovation of CP Rail and CP Telegraph buildings,Adding 2-storeys and renovated space to support teaching and learning in design/culture of northern Ontario,Sudbury,Northeast,85 Elm St,P3C 1T3,,0,,Yes,,Yes,,46.493067,-80.996585
7,Education,Colleges and Universities,Guelph,University of Guelph - Investing in the Future of Health & Veterinary Science projects,Complete,Mar-21,Renovation and expansion,"Larger teaching classrooms and clinical research space; new space for computer-based case studies, simulators and more; renovating vet hospital for advanced surgery and anaesthesia",Wellington,Southwest,50 Stone Rd E,N1G 2W1,,37650000,,Yes,,Yes,,43.528436,-80.22352
8,Education,Colleges and Universities,Hamilton,"McMaster University - Arthur Bourns Building  - Repair, Retrofit, Addition, Campus COGEN",Complete,Jan-19,Renovating and expanding research laboratories,"Adding 45,000 sq. ft. of space for research, innovation and commercialization",Hamilton,Central,1280 Main St,L8S 4L8,,78225000,,Yes,Yes,Yes,,43.260405,-79.92172
9,Education,Colleges and Universities,Hamilton,McMaster University - L.R. Wilson Hall for Studies in Humanities and Social Sciences,Complete,Nov-16,Construction of new humanities and social sciences building,"Adding 177,927 sq.ft. of academic space",Hamilton,Central,1280 Main St,L8S 4L8,,45500000,,Yes,,Yes,,43.261943,-79.916687
10,Education,Colleges and Universities,Hamilton,Mohawk College - Partnership and Innovation Centre ,Complete,Jul-18,Construction of new building,"New research and training centre focusing on energy, health and technologies such as digital health, additive manufacturing, robotics, and mechanotronics",Hamilton,Central,135 Fennell Ave W,L9C 1K9,,0,,,Yes,Yes,,43.23869,-79.888071
