_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Transit,"Agriculture, Food and Rural Affairs",Hamilton,Hamilton International Airport Cargo Centre,Complete,Jun-17,"Construction of cross-dock cargo facility, together with all associated airside and groundside airport infrastructure ",New centre to support growing air cargo business at Hamilton Airport,Hamilton,Central,9300 Airport Rd,L0R 1W0,,8000000,Yes,Yes,Yes,,,43.16386,-79.925912
2,Transit,"Agriculture, Food and Rural Affairs",Sioux Lookout,Municipal Airport Terminal Building Expansion and Renovation,Complete,Mar-19,Includes functional upgrades as well as addressing safety-related deficiencies,Improved safety and efficiency,Kenora,Northwest,7 Airport Rd,P8T 1A5,,8400000,Yes,Yes,Yes,,,50.11512,-91.902234
3,Transit,Northern Development,Nipissing District,North Bay Jack Garland Airport Corporation - New Approach Light System and Runway,Complete,Jan-22,Rehabilitate crosswind runway and install new LED approach lighting.,Alternate runway and approach lighting meet safety requirements that will keep airport open,Parry Sound,Northeast,50 Terminal St.,P1B 8G2,,5000000,,Yes,,,,46.3629286,-79.4244212
4,Transit,Northern Development,Seguin,Parry Sound Area Municipal Airport - New Runway Extension and Business Park Expansion,Under construction,Dec-23,"Extend the runway at the Parry Sound Area Municipal Airport to 5,000 feet, realign the runway 3.6 degrees west, widen the runway to 100 feet, complete runway rehabilitation work, replace the current runway lighting system, and expand the number of airside lots in the business park.","The project will allow for a broader class of aircraft to use the runway and reduce lost traffic to other regional airports, improve safety, and provide opportunities for existing aviation and aerospace businesses to grow and attract new investment to the region.",Parry Sound,Northeast,97 Airport Road,P2A 2W8,,5000000,Yes,Yes,Yes,,,45.253381,-79.82754
5,Transit,Northern Development,Temagami,Temagami Train Station Upgrades,Complete,Dec-17,Building infrastructure improvements,Accommodating business tenants on a year-round basis,Nipissing,Northeast,Highway 11 N,P0H 2H0,,109100,Yes,Yes,Yes,,,46.967157,-79.787685
6,Transit,Transportation,Ajax,Ajax GO Station Pedestrian Bridge,Complete,Oct-17,Building new pedestrian bridge ,"Fairall Street to connect the north and south parking lots, with a new Kiss ‘N’ Ride by south entrance to bridge",Durham,Central,100 Westney Rd S,L1S 7H3,,0,,,,,https://www.news.ontario.ca/mto/en/2017/10/ontario-improving-safety-and-convenience-for-commuters-at-ajax-go-station.html,43.84645,-79.042749
7,Transit,Transportation,Ajax,Westney Road Segment (Durham BRT),Complete,Dec-18,New segment of Durham BRT bus lanes,"Connecting University of Toronto's Scarborough campus and downtown Oshawa, via wider intersections, expanded maintenance and storage facilities, intelligent transportation systems and modified signals",Durham,Central,,,Durham PULSE BRT Highway 2,0,,,,,https://www.durham.ca/en/index.aspx ,43.85761,-79.041807
8,Transit,Transportation,Ajax,Harwood Road Segment (Durham BRT),Complete,Sep-14,New segment of Durham BRT bus lanes,"Connecting University of Toronto's Scarborough campus and downtown Oshawa, via wider intersections, expanded maintenance and storage facilities, intelligent transportation systems and modified signals",Durham,Central,,L1S 5J5,Durham PULSE BRT Highway 2,0,,,,,http://www.durhambrt.ca/,43.861203,-79.02592
9,Transit,Transportation,Ajax,Salem Road Segment (Durham BRT),Complete,Aug-14,New segment of Durham BRT bus lanes,"Connecting University of Toronto’s Scarborough campus and downtown Oshawa, via wider intersections, expanded maintenance and storage facilities, intelligent transportation systems and modified signals",Durham,Central,,L1Z 1G1,Durham PULSE BRT Highway 2,0,,,,,http://www.durhambrt.ca/,43.863454,-79.01599
10,Transit,Transportation,Aurora,Aurora GO Station,Complete,To Be Determined,Existing station on the Barrie Line,,York,Central,,,Barrie GO Line,0,,,,,,44.000748,-79.45972
