_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Child care,Education,Addington Highlands,North Addington Education Centre Public Elementary School,Complete,Dec-18,Renovation of existing school,Renovation to accommodate 41 child care spaces,Lennox and Addington,East,14196 HWY 41,K0H 1K0,,945319,,Yes,,,,44.81607,-77.18565
2,Child care,Education,Ajax,Roméo Dallaire Public Elementary School,Complete,Sep-18,Renovation of existing school,Renovation to accommodate 73 child care spaces,Durham,Central,300 WILLIAMSON DR E,L1Z 0H6,,1953948,,Yes,,Yes,,43.89823,-79.01472
3,Child care,Education,Ajax,St Josephine Bakhita Catholic Elementary School,Complete,Sep-17,Expansion of existing school,Addition to accommodate 49 child care spaces,Durham,Central,51 WILLIAMSON DR E,L1T 0B4,,2405382,,Yes,,Yes,,43.89132,-79.03197
4,Child care,Education,Ajax,Dr Roberta Bondar Public Elementary School,Complete,Sep-20,Renovation of existing school,Renovation to accommodate 49 child care spaces,Durham,Central,25 SULLIVAN DR,L1T 3L3,,958164,,Yes,,,,43.87113,-79.03333
5,Child care,Education,Ajax,Lakeside Public Elementary School,Complete,Sep-20,Renovation of existing school,Renovation to accommodate 30 child care spaces,Durham,Central,4 PARKES DR,L1S 4X1,,504171,,Yes,,,,43.82344,-79.02777
6,Child care,Education,Ajax,Roland Michener Public Elementary School,Complete,Oct-20,Renovation of existing school,Renovation to accommodate 10 child care spaces,Durham,Central,95 RITCHIE AVE,L1S 6S2,,252086,,Yes,,,,43.85407,-79.0382
7,Child care,Education,Ajax,St. Teresa of Calcutta Catholic Elementary School,Under construction,2022,Expansion of existing school,Addition to accommodate 73 child care spaces,Durham,Central,15 FISHLOCK ST,L1Z 1H1,,2304653,,Yes,,,,43.8762,-79.0302
8,Child care,Education,Ajax,Lakeside Public Elementary School,Under construction,2022,Renovation of existing school,Renovation to accommodate 30 child care spaces,Durham,Central,4 PARKES DR,L1S 4X1,,908212,,Yes,,,,43.82344,-79.02777
9,Child care,Education,Alfred and Plantagenet,École élémentaire catholique Saint-Joseph,Under construction,2022,Expansion of existing school,Addition to accommodate 10 child care spaces,Prescott and Russell,East,3250 RUE PRINCIPALE,K0A 3K0,,660861,,Yes,,Yes,,45.57206,-75.13025
10,Child care,Education,Alnwick-Haldimand,Grafton Licensed Child Care Family Grouping,Complete,Sep-18,Renovation of existing building,Renovation to accommodate 15 community-based child care spaces and 1 community-based EarlyON room,Northumberland,East,718 STATION ST,K0K 2G0,,515000,,Yes,,,,43.990089,-78.02302
