_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Roads and bridges,"Agriculture, Food and Rural Affairs",Addington Highlands,Matawatchan Road Rehabilitation,Complete,Aug-19,"Rehabilitation of Matawatchan Road, from Glenfield Road to the eastern Township boundary.",Increased traffic safety,Lennox and Addington,East,,K0H 1L0,,877500,Yes,Yes,,,,45.107314,-77.160064
2,Roads and bridges,"Agriculture, Food and Rural Affairs",Adjala-Tosorontio,Concession Road 2 Bridge Replacement Over the Boyne River,Complete,Jun-19,Replacement of Concession Road 2 bridge over the Boyne River.,Increased traffic safety,Simcoe,Central,,L9R 1V1,,1708040,Yes,Yes,,,,44.162398,-79.984178
3,Roads and bridges,"Agriculture, Food and Rural Affairs",Alnwick-Haldimand,Replacement of Whitney Road Bridge,Complete,Jul-18,"Replacement of the superstructure of the bridge on Whitney Road, including approach roadway work.",Increased traffic safety,Northumberland,East,,,,195034,Yes,Yes,,,,44.146087,-78.031272
4,Roads and bridges,"Agriculture, Food and Rural Affairs",Amaranth,Bridge #17 Replacement,Complete,Jul-18,Replacement of Bridge #17.,Increased Traffic Safety,Dufferin,Central,384140 20th Sideroad,L0N 1L0,,1444878,Yes,Yes,,,,44.000374,-80.255692
5,Roads and bridges,"Agriculture, Food and Rural Affairs",Amherstburg,Meloche Road Reconstruction,Complete,Dec-17,Reconstruction of Meloche Road.,Increased Traffic Safety,Essex,Southwest,Meloche Rd,,,2000000,Yes,Yes,,,,42.093385,-83.082883
6,Roads and bridges,"Agriculture, Food and Rural Affairs",Armour,Pickerel and  Jack Lake Road Bridge Replacement,Complete,Dec-19,Replacement of Pickerel and  Jack Lake Road bridge.,Increased traffic safety,Parry Sound,Northeast,,P0A 1C0,,1098300,Yes,Yes,,,,45.663689,-79.329534
7,Roads and bridges,"Agriculture, Food and Rural Affairs",Blandford-Blenheim,Bridge No. 20 Replacement,Complete,Dec-19,Replacement of Bridge No. 20 and reconstruction of the roadway approaches to match the new bridge.,Increased traffic safety,Oxford,Southwest,,,,1758173,Yes,Yes,,,,43.310279,-80.494788
8,Roads and bridges,"Agriculture, Food and Rural Affairs",Bonfield,Sharpes Creek  Culverts,Complete,Sep-17,Replacement of the Sharpes Creek twin arch pipe culverts.,Increased traffic safety,Nipissing,Northeast,,,,457397,Yes,Yes,,,,46.268147,-79.047723
9,Roads and bridges,"Agriculture, Food and Rural Affairs",Brighton,County Road 30 Improvements at Old Wooler Road,Complete,Feb-18,Improvements to County Road 30.,Increased Traffic Safety,Northumberland,East,County Road 30,,,725000,Yes,Yes,,,,44.148298,-77.794442
10,Roads and bridges,"Agriculture, Food and Rural Affairs",Brock,Reconstruction of Thorah Sideroad,Complete,Sep-19,Reconstruction of a section of Thorah Side Road.,Increased Traffic Safety,Durham,Central,Thorah Side Road,L0E 1E0,,1547630,Yes,Yes,,,,44.433245,-79.08615
