Date,V39079,Delta,V39078,Canadian Overnight Repo Rate Average (CORRA) (%),V39068,V39071,V39072,V39073,V39074
2023-10-18,5,0,5.25,5.04, , , , , 
2023-10-17,5,0,5.25,5.03, , , , , 
2023-10-16,5,0,5.25,5.01, , , , , 
2023-10-13,5,0,5.25,5.03, , , , , 
2023-10-12,5,0,5.25,5.03, , , , , 
2023-10-11,5,0,5.25,5.02, , , , , 
2023-10-10,5,0,5.25,5.01, , , , , 
2023-10-09,5,0, Bank holiday, Bank holiday, , , , , 
2023-10-06,5,0,5.25,5.01, , , , , 
2023-10-05,5,0,5.25,5, , , , , 
2023-10-04,5,0,5.25,5, , , , , 
2023-10-03,5,0,5.25,5, , , , , 
2023-10-02,5,0, Bank holiday, Bank holiday, , , , , 
2023-09-29,5,0,5.25,5.02, , , , , 
2023-09-28,5,0,5.25,5.01, , , , , 
2023-09-27,5,0,5.25,5.02, , , , , 
2023-09-26,5,0,5.25,5.02, , , , , 
2023-09-25,5,0,5.25,5.01, , , , , 
2023-09-22,5,0,5.25,5.01, , , , , 
2023-09-21,5,0,5.25,5, , , , , 
2023-09-20,5,0,5.25,5, , , , , 
2023-09-19,5,0,5.25,5, , , , , 
2023-09-18,5,0,5.25,5, , , , , 
2023-09-15,5,0,5.25,5, , , , , 
2023-09-14,5,0,5.25,5.01, , , , , 
2023-09-13,5,0,5.25,5, , , , , 
2023-09-12,5,0,5.25,5, , , , , 
2023-09-11,5,0,5.25,5.01, , , , , 
2023-09-08,5,0,5.25,5, , , , , 
2023-09-07,5,0,5.25,5.01, , , , , 
2023-09-06,5,0,5.25,5.01, , , , , 
2023-09-05,5,0,5.25,5.01, , , , , 
2023-09-04,5,0, Bank holiday, Bank holiday, , , , , 
2023-09-01,5,0,5.25,5.01, , , , , 
2023-08-31,5,0,5.25,5.01, , , , , 
2023-08-30,5,0,5.25,5.01, , , , , 
2023-08-29,5,0,5.25,5.01, , , , , 
2023-08-28,5,0,5.25,5.02, , , , , 
2023-08-25,5,0,5.25,5.01, , , , , 
2023-08-24,5,0,5.25,5.02, , , , , 
2023-08-23,5,0,5.25,5.01, , , , , 
2023-08-22,5,0.008333333,5.25,5.02, , , , , 
2023-08-21,5,0.016666667,5.25,5.02, , , , , 
2023-08-18,5,0.025,5.25,5, , , , , 
2023-08-17,5,0.033333333,5.25,5, , , , , 
2023-08-16,5,0.041666667,5.25,5, , , , , 
2023-08-15,5,0.05,5.25,5, , , , , 
2023-08-14,5,0.058333333,5.25,5, , , , , 
2023-08-11,5,0.066666667,5.25,5, , , , , 
