address,within_academy,#_of_academy_within,within_education_centres,#_of_education_centres_within,within_highschool,#_of_highschool_within,within_elementary school,#_of_elementary school_within,within_college,#_of_college_within,within_learning centre,#_of_learning centre_within,within_university,#_of_university_within,within_subway_station,#_of_subway_station_within,within_cemetery,#_of_cemetery_within,within_green_space,#_of_green_space_within
5-callowhill-drive,0,0,1,5,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,5
22-alexander-street,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,20
465-balliol-street,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,10
83-coalport-drive,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,9
61-storer-drive,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5
25-nanton-avenue,0,0,1,2,0,0,1,2,1,1,0,0,0,0,1,2,1,1,1,10
7-mitchell-avenue,0,0,1,3,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,15
159-newton-drive,1,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,4
479-winnett-avenue,0,0,1,6,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,9
87-conference-boulevard,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,6
148-pleasant-view-drive,0,0,1,4,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,5
490-briar-hill-avenue,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,4,1,4
67-porchester-drive,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,7
159-fitzgibbon-avenue,1,1,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,5
21-nanton-avenue,0,0,1,2,0,0,1,1,1,1,0,0,0,0,1,2,1,1,1,10
32-mozart-avenue,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2
544-indian-road,1,1,1,3,1,1,1,6,0,0,0,0,0,0,1,2,0,0,1,7
7-palmerston-avenue,0,0,1,4,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,12
342-carlton-street,0,0,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1,2,1,15
162-macpherson-avenue,1,2,1,4,0,0,1,3,1,1,0,0,0,0,1,2,0,0,1,18
50-maitland-street,1,2,1,5,0,0,1,2,1,3,0,0,1,1,1,4,0,0,1,21
