index,Education investment in area,Transportation investment in area,Colleges/Universities investment in area,Health investment in area,Other investment in area
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,14300
5,0,0,0,0,0
6,0,0,0,0,0
7,1044187,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,40650006,0,0,0,0
27,0,0,0,0,0
28,13549598,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
33,5762504,0,0,0,0
34,18745214,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,13791511,0,0,0,0
40,22982072,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,33200
43,0,0,0,0,0
44,0,0,0,0,547200
45,0,0,0,0,0
46,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,3980731,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
56,0,0,0,14731900,0
57,3268889,0,0,0,0
58,0,0,0,0,0
59,5542529,0,0,0,0
60,0,0,0,14731900,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,15247623,0,0,0,7597000
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,5542529,0,0,0,0
79,0,0,0,0,0
80,23587058,0,0,0,0
81,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
91,0,0,0,0,0
92,3406063,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
96,13791511,0,0,0,0
97,0,0,0,0,0
98,5542529,0,0,0,0
99,33311872,0,0,0,10780675
100,1456112,0,0,0,10780675
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
110,0,0,0,0,0
111,727311,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
125,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
134,727311,0,0,103692217,0
135,0,0,0,103692217,0
137,0,0,0,0,0
138,0,0,0,0,0
141,255000,0,0,0,0
142,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
153,0,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,779556,0,0,633309700,29950000
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
167,2261844,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,510000,0,0,0,0
171,0,0,0,0,0
172,0,0,0,358320300,0
173,0,0,0,0,22300
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,0,0,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,33200
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,510000,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0,0
201,13791511,0,0,0,22300
202,0,0,0,0,0
203,0,0,0,0,0
204,0,0,0,0,0
205,2261844,0,0,0,0
206,61208062,0,0,0,0
207,0,0,0,0,0
208,0,0,0,0,33200
209,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,1039378,0,0,0,0
214,0,0,0,0,0
216,13549598,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,16767310,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,32008987,0,0,0,0
225,0,0,0,0,0
226,0,0,0,0,0
228,0,0,0,0,0
229,1039378,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,5762504,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,7560148,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,73000000,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,7560148,0,0,0,0
249,8057310,0,0,0,0
250,0,0,0,0,0
251,0,0,0,0,0
252,0,0,0,0,0
253,2615083,0,0,0,0
254,0,0,0,0,0
255,0,0,0,0,0
256,0,0,0,0,0
257,0,0,0,0,0
258,0,0,0,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,510000,0,0,0,13800
262,0,0,0,0,0
263,896094,0,0,0,0
264,0,0,0,0,0
265,6428669,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,18900
270,0,0,0,0,0
271,0,0,0,0,0
272,0,15980000,85621000,0,337500
273,0,0,0,0,0
274,255000,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,22300
279,0,0,0,0,0
280,0,0,0,0,187500
281,0,0,0,0,0
282,510000,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,57983000,0,0,18900
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,510000,0,0,0,0
295,0,0,0,0,0
296,0,0,0,0,33200
297,0,0,0,0,0
298,0,0,0,0,0
299,3980731,0,0,0,0
300,0,0,0,0,0
301,0,0,0,0,0
302,0,0,0,0,0
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,26802302,0,0,0,0
320,0,0,0,0,0
322,23587058,0,0,0,0
323,0,0,0,0,0
326,0,0,0,0,0
327,7560148,0,0,0,0
328,7560148,0,0,0,0
329,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,14731900,0
333,0,0,0,0,0
334,0,0,0,0,0
335,12594672,0,0,0,0
336,12594672,0,0,0,0
337,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,7560148,0,0,0,0
348,11083169,0,0,0,0
350,0,0,0,14731900,0
351,0,0,0,0,0
352,0,17148000,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
359,0,0,0,0,0
363,0,0,0,0,0
369,0,0,0,0,0
374,3406063,0,0,0,0
380,0,0,0,0,0
383,3406063,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,7662045,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,1039378,0,0,0,0
397,7560148,0,0,0,0
398,510000,73000000,0,0,0
399,0,0,0,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0,0,0
403,13549598,0,0,0,0
404,727311,0,0,0,0
405,0,0,0,0,0
406,8191423,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,187500
412,0,0,0,0,0
413,0,0,0,0,0
415,0,0,0,0,0
416,0,0,0,0,0
417,1039378,0,0,0,0
418,0,0,0,0,0
419,0,0,0,0,0
420,0,0,0,0,0
421,0,0,0,0,0
422,0,0,0,0,0
423,2261844,0,0,0,0
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,0,0,0
427,0,0,0,0,0
428,0,0,0,0,0
429,11083169,0,0,0,0
431,41160006,0,0,0,0
432,529378,0,0,0,0
433,11083169,0,0,0,0
434,0,0,0,0,0
435,0,0,0,0,0
436,0,0,0,0,0
437,8191423,0,0,0,0
438,0,0,0,0,0
439,0,0,0,0,0
